trial	nz	encoder_depth	width_mult	nonlin	nsteps	bs	lr	y_loss_w	x_loss_w	recon_loss_w	seed	epochs	dev_mae	test_mae	use_block_diag	cl_of	t2d2	t3d3
379	25	2	1.0	elu	120	40	0.0009433	8.03	3.67	1.66	3268	4000	2.705	2.712	True	569.2	272.5	296.7
380	27	2	1.0	elu	120	40	0.001155	10.8	2.19	1.85	3079	4000	2.238	2.428	True	341.9	175.2	166.6
381	24	2	1.0	elu	120	40	0.001012	16.6	2.9	0.992	3129	4000	2.356	2.372	True	449	217.6	231.4
382	26	2	1.0	elu	120	40	0.001139	10.1	2.96	1.92	3085	4000	2.485	2.714	True	385.2	166.9	218.3
383	28	2	1.0	elu	120	40	0.0007337	11.8	2.62	1.97	2571	4000	2.53	2.65	True	501.8	257.5	244.4
384	26	2	1.0	elu	120	40	0.0008077	7.81	4.26	1.56	3166	4000	2.705	2.496	True	341.3	168.2	173.2
385	28	2	1.0	elu	120	40	0.0008003	14	2.2	1.98	2609	4000	2.154	2.287	True	347.3	159.9	187.4
386	28	2	1.0	elu	120	40	0.0009815	8.1	2.7	2.09	3100	4000	2.256	2.472	True	412.5	215.9	196.6
387	25	2	1.0	elu	120	40	0.001211	14.8	3.84	2.44	3369	4000	2.504	2.613	True	517.9	275.2	242.7
388	25	2	1.0	elu	120	40	0.0009891	15.8	1.98	2.41	3644	4000	2.285	2.092	True	360.9	174.2	186.8
389	26	2	1.0	elu	120	40	0.001089	7.62	2.95	2.08	3038	4000	2.723	2.745	True	384.5	161.1	223.3
390	30	2	1.0	elu	120	40	0.0007458	16.5	2.34	1.75	1637	4000	2.117	2.301	True	373.8	180.3	193.4
392	23	2	1.0	elu	120	40	0.00157	14.8	3.01	1.47	2692	4000	2.393	2.413	True	1333	459.4	873.6
391	23	2	1.0	elu	120	40	0.001151	19	2.82	1.79	2019	4000	2.105	2.218	True	402.4	201.9	200.6
393	28	2	1.0	elu	120	40	0.0009675	10.6	2.41	2.55	3480	4000	2.103	2.445	True	408.5	203.7	204.8
394	26	2	1.0	elu	120	40	0.0009053	16.9	1.93	2.29	3080	4000	2.245	2.459	True	335.4	162.8	172.6
395	25	2	1.0	elu	120	40	0.001057	13.6	2.3	2.2	2795	4000	2.17	2.261	True	382	185.7	196.2
396	27	2	1.0	elu	120	40	0.0008974	15.7	2.38	2.78	3500	4000	2.36	2.357	True	419.9	210.4	209.6
397	24	2	1.0	elu	120	40	0.001078	15	3.88	1.47	3285	4000	2.183	2.189	True	383.1	190.7	192.4
398	25	2	1.0	elu	120	40	0.001155	17.2	2.65	1.46	2609	4000	2.573	2.646	True	393.5	184	209.5
399	26	2	1.0	elu	120	40	0.0009661	6.8	1.93	2.14	3101	4000	2.547	2.668	True	354	173.8	180.2
400	27	2	1.0	elu	120	40	0.001214	9.03	2.44	1.95	3138	4000	2.052	2.347	True	452.8	212	240.8
401	27	2	1.0	elu	120	40	0.0007443	14.1	2.32	1.92	1867	4000	2.409	2.594	True	424.4	219.8	204.6
402	29	2	1.0	elu	120	40	0.0008581	11.8	2.44	1.98	1828	4000	2.399	2.533	True	702.7	357.1	345.6
403	29	2	1.0	elu	120	40	0.0007431	15.7	2.72	2.14	1858	4000	2.09	2.428	True	337.5	181.5	156
404	29	2	1.0	elu	120	40	0.0008966	14.6	3.32	1.78	2277	4000	2.26	2.336	True	483.4	210.8	272.6
405	29	2	1.0	elu	120	40	0.001223	8.32	2.04	1.79	3784	4000	2.482	2.563	True	398.1	200.3	197.9
407	25	2	1.0	elu	120	40	0.001161	16	2.09	1.73	3470	4000	2.272	2.366	True	355.2	166.8	188.4
406	31	2	1.0	elu	120	40	0.0008818	19.5	3.22	1.61	2519	4000	2.062	2.126	True	353.3	170.8	182.5
408	27	2	1.0	elu	120	40	0.0007775	16.6	2.52	2.08	2214	4000	2.065	2.242	True	441.1	195	246.1
410	24	2	1.0	elu	120	40	0.001838	15.7	3.43	1.58	2693	4000	2.349	2.41	True	565.5	265.2	300.3
409	28	2	1.0	elu	120	40	0.00115	6.22	2.72	1.72	2664	4000	2.415	2.686	True	1274	1041	233.2
411	26	2	1.0	elu	120	40	0.001291	8.69	1.65	2.07	3637	4000	2.096	2.375	True	362.5	184.5	178
412	24	2	1.0	elu	120	40	0.001133	14.5	3.44	1.02	2838	4000	2.501	2.856	True	647.1	350	297.1
413	29	2	1.0	elu	120	40	0.001038	13.4	2.33	2.1	4009	4000	1.991	2.304	True	397.5	175.2	222.3
414	28	2	1.0	elu	120	40	0.001047	7.82	1.65	1.7	4021	4000	2.163	2.533	True	397.1	187.6	209.5
417	24	2	2.0	elu	120	40	0.001162	14.2	2.89	1.51	2361	4000	2.159	2.361	True	533	328.6	204.4
416	30	2	1.0	elu	120	40	0.0006448	13.2	2.7	1.91	1344	4000	2.533	2.409	True	1374	667.5	706.4
415	31	2	1.0	elu	120	40	0.0007673	16.5	2.72	1.71	2485	4000	2.465	2.583	True	806	252.7	553.3
418	29	2	1.0	elu	120	40	0.0008752	15.6	2.09	2.17	2092	4000	2.435	2.332	True	459.4	252.6	206.8
419	27	2	1.0	elu	120	40	0.001168	13.9	2.34	3.06	2999	4000	2.913	2.535	True	385.8	171	214.7
420	32	2	1.0	elu	120	40	0.0007834	14.4	2.67	1.82	1894	4000	2.226	2.327	True	435.9	224.7	211.2
421	28	2	1.0	elu	120	40	0.0007399	14	1.77	2.02	2164	4000	2.513	2.664	True	689.5	355	334.5
422	27	2	1.0	elu	120	40	0.0007397	10.8	2.61	1.61	3645	4000	2.396	2.547	True	496.2	196.1	300.1
423	27	2	1.0	elu	120	40	0.001034	17	3.26	1.96	4022	4000	2.055	2.333	True	349.7	177.8	171.9
424	25	2	1.0	elu	120	40	0.001066	9.22	3.79	1.57	3953	4000	2.372	2.456	True	568.8	261.9	306.9
