trial	nz	encoder_depth	width_mult	nonlin	nsteps	bs	lr	y_loss_w	x_loss_w	recon_loss_w	seed	epochs	dev_mae	test_mae
176	3	1	0.5	gelu	40	32	0.0004738	11.5	11.2	0.919	8315	2000	25.24	15.57
180	4	1	0.5	gelu	40	32	0.0003088	12.5	12.8	0.563	9676	497	13.82	10.73
179	3	1	0.5	gelu	40	32	0.0006334	13.3	15.5	0.551	9513	729	15.57	11.63
181	2	1	0.5	gelu	40	32	0.0005472	14.3	17.2	0.613	8422	1360	15.69	11.7
182	4	1	0.5	gelu	40	32	0.0003202	9.95	12.8	0.726	9744	1332	16.21	11.97
184	2	1	0.5	gelu	40	32	0.0004265	9.39	9	1.02	9918	616	15.22	11.46
183	2	1	0.5	gelu	40	32	0.000418	11.6	13.5	1.36	9148	1384	16.48	12.12
185	2	1	0.5	gelu	40	32	0.0004513	15.4	9.47	0.824	8323	564	13.98	10.81
186	2	1	0.5	gelu	40	32	0.000426	13.2	8.7	0.991	9782	401	7.884	9.209
187	2	1	0.5	gelu	40	32	0.0005032	10.8	10.7	1.12	9705	592	10.21	9.282
189	2	1	0.5	gelu	40	32	0.0005957	10.3	13.1	0.71	8019	593	12.56	10.14
188	3	1	0.5	gelu	40	32	0.0006057	10.1	14	0.516	7963	830	14.89	11.27
190	4	1	0.5	gelu	40	32	0.0004092	13.5	15	0.921	8821	623	11.96	9.894
192	2	1	0.5	gelu	40	32	0.0003174	16.1	9.38	0.979	9021	515	7.838	8.984
193	2	1	0.5	gelu	40	32	0.0004459	14.1	8.55	0.957	9772	751	15.39	11.53
191	2	1	0.5	gelu	40	32	0.0003425	12.6	10.4	1.12	9967	1924	15.8	11.76
195	2	1	0.5	gelu	40	32	0.0003931	14.1	9.96	1.16	9751	423	10.42	9.343
194	3	1	0.5	gelu	40	32	0.0006764	8.91	11.2	0.513	9745	602	13.53	10.59
197	2	1	0.5	gelu	40	32	0.0003524	18.5	9.02	1.05	9372	475	7.936	8.913
196	3	1	0.5	gelu	40	32	0.0003722	10.1	13.3	0.689	9925	765	11.8	9.826
199	3	1	0.5	gelu	40	32	0.0004643	9.59	14.3	0.504	9865	456	9.106	9.001
198	3	1	0.5	gelu	40	32	0.0004888	12.2	10.3	0.911	9532	1006	15.43	11.55
200	4	1	0.5	gelu	40	32	0.0004027	15.6	11.7	0.759	9967	1074	15.84	11.77
201	2	1	0.5	gelu	40	32	0.0004379	14.7	9.7	0.791	9284	1021	16.03	11.87
202	2	1	0.5	gelu	40	32	0.0005024	10.6	16.5	0.545	8380	401	7.873	9.155
204	4	1	0.5	gelu	40	32	0.0006621	10.4	12.3	0.54	9462	439	11.71	9.79
205	2	1	0.5	gelu	40	32	0.0004388	12.5	11.3	0.836	9775	427	12.61	10.16
206	2	1	0.5	gelu	40	32	0.0004936	11.8	12.1	0.651	7414	520	7.872	8.916
203	3	1	0.5	gelu	40	32	0.0003847	13.5	13.7	0.946	8310	1951	23.99	10.47
208	3	1	0.5	gelu	40	32	0.0005693	10.8	17.1	0.512	9899	876	15.71	11.7
209	2	1	0.5	gelu	40	32	0.0003124	16.4	8.4	0.885	9048	504	7.847	8.979
207	3	1	0.5	gelu	40	32	0.0006093	9.33	16	0.582	9458	2000	15	11.39
210	2	1	0.5	gelu	40	32	0.0005416	10.8	17.2	0.512	8722	844	14.16	10.91
212	2	1	0.5	gelu	40	32	0.0005551	12.6	18.5	0.523	9423	625	8.656	9.897
211	2	1	0.5	gelu	40	32	0.0003301	16.9	8.03	0.898	9231	1888	15.66	11.7
213	2	1	0.5	gelu	40	32	0.0005066	13.1	13	0.744	7376	756	7.831	9.044
215	2	1	0.5	gelu	40	32	0.0003154	12.7	9.27	0.985	9314	535	8.289	8.891
214	3	1	0.5	gelu	40	32	0.0004868	12.2	9.97	0.766	8760	1117	16.07	11.89
216	2	1	0.5	gelu	40	32	0.0005032	9.03	14.5	0.514	8233	596	10.42	9.353
217	2	1	0.5	gelu	40	32	0.0003533	16.1	11.1	1.19	9309	729	7.838	8.998
219	2	1	0.5	gelu	40	32	0.0003358	19.2	7.66	1.06	8763	548	7.839	8.977
218	2	1	0.5	gelu	40	32	0.0005091	13.5	12.7	0.825	7132	1140	15.86	11.8
220	2	1	0.5	gelu	40	32	0.0003055	18	9.85	0.975	8997	562	8.204	9.54
222	2	1	0.5	gelu	40	32	0.0003051	17.4	7.62	1.11	9037	555	7.851	9.102
223	2	1	0.5	gelu	40	32	0.0003587	16.8	11.3	1.09	9672	401	8.026	9.385
224	2	1	0.5	gelu	40	32	0.0003202	18.1	7.73	1.32	8794	401	7.826	8.993
