trial	nz	encoder_depth	width_mult	nonlin	nsteps	bs	lr	y_loss_w	x_loss_w	recon_loss_w	seed	epochs	dev_mae	test_mae	use_block_diag	cl_of	cl_tracking	cl_du
260948	24	2	0.5	gelu	120	40	0.00152	1.05	1.53	3.55	6068	4000	10.12	11.91	True	1179	1161	18.03
260947	26	2	0.5	gelu	120	40	0.001405	1.46	1.49	4.08	6948	4000	10.16	11.93	True	2040	2023	17.44
261376	23	2	0.5	gelu	120	40	0.001579	1.21	1.95	3.87	7775	4000	10.23	12.36	True	235.9	220.7	15.19
264027	24	2	0.5	gelu	120	40	0.00136	1.51	1.64	3.5	7078	2000	10.48	12.75	True	510.4	482.4	28.01
265581	25	2	0.5	gelu	120	40	0.001762	1.23	1.92	3.84	7098	4000	10.29	12.06	True	3169	3154	15.29
265582	22	2	0.5	gelu	120	40	0.001089	1.44	1.37	3.68	7395	4000	10.33	12.24	True	814.7	795.2	19.51
265836	23	2	0.5	gelu	120	40	0.001736	1.06	1.44	4.9	6167	4000	10.27	12	True	285.8	267.4	18.38
265835	26	2	0.5	gelu	120	40	0.001128	1.44	1.41	4.89	7480	4000	10.25	12.06	True	177.8	163.8	14.03
266477	25	2	0.5	gelu	120	40	0.001598	1.76	1.5	4.78	7673	4000	10.32	12.57	True	198.3	185	13.38
269601	24	2	0.5	gelu	120	40	0.001688	1.06	1.52	3.38	7127	1500	10.29	12.05	True	195.3	180.3	14.93
271504	23	2	0.5	gelu	120	40	0.00142	1.53	1.57	4.21	8053	3000	10.23	11.93	True	285.5	266.4	19.02
273843	26	2	0.5	gelu	120	40	0.001646	1.06	1.69	3.59	6414	1500	10.46	12.39	True	2206	2187	18.86
273844	26	2	0.5	gelu	120	40	0.001379	1.41	1.69	4.68	8192	1500	10.36	12.27	True	3364	3355	9.512
274039	23	2	0.5	gelu	120	40	0.0009042	1.32	1.63	4.33	7212	1500	10.47	12.62	True	496.4	471.6	24.8
275986	27	2	0.5	gelu	120	40	0.001128	1.7	1.5	4.83	7114	1500	10.1	11.7	True	223.4	206.9	16.49
278212	23	2	0.5	gelu	120	40	0.001048	1.17	1.56	4.26	7882	1500	10.43	12.12	True	702.8	686.9	15.84
278211	24	2	0.5	gelu	120	40	0.001395	1.71	1.49	4.05	7289	1500	10.06	11.87	True	487	469.4	17.53
278234	24	2	0.5	gelu	120	40	0.001278	1.62	1.45	4.9	7138	1500	10.45	12.3	True	271.3	253.4	17.86
280219	23	2	0.5	gelu	120	40	0.00139	1.22	1.71	3.54	8114	1500	10.3	12.07	True	296.1	277	19.02
281773	25	2	0.5	gelu	120	40	0.001556	1.49	1.29	4.3	8167	500	10.17	11.75	True	8819	8258	560.5
282913	27	2	0.5	gelu	120	40	0.001177	1.62	1.4	4.5	8251	1500	10.3	12.2	True	7865	7385	479.3
284279	24	2	0.5	gelu	120	40	0.001772	1.2	1.48	4.06	6908	1500	10.6	12.74	True	237.6	220.2	17.4
286184	29	2	0.5	gelu	120	40	0.001237	1.87	1.48	4.84	7495	4000	10.34	12.16	True	362.4	341.1	21.25
288396	24	2	0.5	gelu	120	40	0.0009931	1.26	1.34	4.66	7064	1000	10.06	11.66	True	430.4	410.8	19.57
