trial	nz	encoder_depth	width_mult	nonlin	nsteps	bs	lr	y_loss_w	x_loss_w	recon_loss_w	seed	epochs	dev_mae	test_mae	use_block_diag	cl_of	t2d2	t3d3
2560	27	2	0.5	elu	120	40	0.0009139	9.28	2.3	1.96	3995	3000	3.139	2.994	True	1e+06		
2562	29	2	1.0	elu	120	160	0.0008152	14.1	3.61	3.08	813	4000	2.588	2.374	True	1e+06		
2557	30	2	1.0	elu	120	40	0.0007545	17.1	4.05	3.55	1134	4000	2.119	2.271	True	1e+06		
2563	27	2	1.0	relu	120	40	0.0006851	11.1	1.69	3.34	3444	4000	2.861	2.688	True	1e+06		
2568	27	2	1.0	elu	20	40	0.0008753	10.1	3.19	4.94	1291	4000	18.09	9.575	True	1e+06		
2567	29	2	1.0	elu	40	160	0.0007498	12.7	3.22	2.49	1599	4000	4.595	3.953	True	1e+06		
2564	30	2	1.0	elu	120	80	0.0007324	10.2	4.18	4.79	883	4000	2.357	2.442	True	1e+06		
2573	29	2	1.0	elu	40	80	0.0007453	15.6	4.54	3.66	1240	4000	5.419	4.551	True	1e+06		
2569	26	2	1.0	elu	120	40	0.0009731	9.44	2.58	1.87	2689	3000	2.989	2.6	True	1e+06		
2570	25	2	1.0	elu	120	40	0.0006472	9.98	2.75	3.68	1619	3000	2.667	2.487	True	1e+06		
2566	26	2	1.0	elu	120	40	0.0006929	13.1	3.27	2.37	2526	4000	2.642	2.42	True	1e+06		
2577	28	2	1.0	elu	20	40	0.0007333	13.7	3.1	4.48	1410	4000	21.28	7.658	True	1e+06		
2572	30	2	1.0	elu	120	160	0.0007023	8.95	3.94	4.4	1043	4000	3.516	2.97	True	1e+06		
2571	30	2	1.0	elu	120	40	0.0009391	14.1	1.54	2.64	4788	4000	1.98	2.13	True	1e+06		
2580	30	2	1.0	elu	40	40	0.0007694	12.8	1.54	2.68	4237	4000	12.72	5.825	True	1e+06		
2574	25	2	1.0	elu	120	40	0.0007579	17.4	1.49	2.25	798	4000	2.202	2.153	True	1e+06		
2581	28	2	1.0	elu	120	80	0.000831	11.1	3.47	3.93	1787	1500	3.654	3.434	True	1e+06		
2575	28	2	1.0	elu	120	40	0.0006647	15.4	2.69	2.68	3599	4000	2.291	2.396	True	1e+06		
2576	30	2	1.0	elu	120	40	0.0007391	13.5	1.22	2.32	4607	4000	2.387	2.531	True	1e+06		
2578	30	2	0.5	elu	120	40	0.0006429	13.4	3.47	3.47	984	4000	4.363	3.741	True	1e+06		
2585	31	2	1.0	elu	20	40	0.0009268	9.94	2.72	4.43	1324	4000	6.181	6.617	True	1e+06		
2583	30	2	1.0	elu	120	40	0.000773	8.39	4.87	4.45	249	1500	3.556	3.175	True	1e+06		
2579	31	2	1.0	elu	120	40	0.0007786	10.9	5.38	4.57	1744	4000	2.363	2.145	True	1e+06		
2590	27	2	1.0	elu	120	160	0.000911	13.1	2.25	2.62	4482	1500	4.156	3.382	True	1e+06		
2582	31	2	1.0	elu	120	40	0.0008573	9.95	2.7	4.54	76	4000	2.464	2.208	True	1e+06		
2584	28	2	1.0	elu	120	80	0.0007412	12.5	2.58	1.92	1296	4000	2.322	2.303	True	1e+06		
2587	32	2	1.0	relu	120	40	0.0006985	9.59	4.42	4.51	2083	4000	2.496	2.579	True	1e+06		
2586	30	2	1.0	gelu	120	40	0.0008749	8.97	4.01	3.56	1864	4000	2.343	2.459	True	1e+06		
