controller	setup_name	objective	objective_original_weights	state_error_cost	control_increment_cost	control_setpoint_cost	wall_s	mpc_wall_mean_s	mpc_wall_max_s	mpc_solver_mean_s	error
CT	qy_x2	315.83759691080104	175.12212025540111	281.43095331079957	18.279140757890552	16.127502842111113	85.7653173749568	0.052355572511442	0.1663006249582395	0.02568669064839681	
T2D2	qy_x2	305.7563536091296	177.33970813445723	256.8332909493422	25.16446219178954	23.758600467996384	409.6337880840292	0.26527099838798557	0.6639259159564972	0.04127749125162761	
T3D3	qy_x2	304.38274353394746	175.47428599745822	257.81691507297717	20.86137203312975	25.704456427839823	403.6434042910114	0.26371295130058814	0.6861243749735877	0.04114666573206584	
NMPC	qy_x2	265.5330466926796	148.2606968986077	234.54469958814235	16.04384906983584	14.944498034701368	457.6559464999009	0.29069103121159906	0.5958203749032691	nan	
N4SID	qy_x0.5	114.22042525283311	194.37134934545784	80.15092409262509	14.232850220630697	19.836650939577368	75.36562562501058	0.04786146326448458	0.18972945807036012	0.02257910776138306	
CT	qy_x0.5	98.27081895257437	179.720787300839	81.44996834826453	8.735584557459662	8.085266046849986	83.8364342909772	0.05349738305256081	0.19497429090552032	0.02634604247411092	
T2D2	qy_x0.5	88.35344452366424	160.31272767769266	71.95928315402871	9.160584059376195	7.23357731025946	392.39856629201677	0.25638872222447145	0.5681841670302674	0.038727548440297445	
T3D3	qy_x0.5	89.39058642960447	162.34500178870775	72.95441535910341	8.775321678996843	7.660849391504326	382.29175570898224	0.24979951602461126	0.5824255830375478	0.03785554313659668	
NMPC	qy_x0.5	81.63032592841765	149.16411175151896	67.53378582310158	7.210339561957723	6.88620054335657	440.1618515830487	0.27899762547706874	0.4671875420026481	nan	
N4SID	qu_x10	276.4904470838404	224.82753908337307	196.47697582990875	22.610240142301784	57.40323111163023	74.61814508296084	0.04748532046408703	0.1633070840034634	0.022134442170461018	
CT	qu_x10	225.74240861953223	200.05343330629128	182.68007932051697	14.519023395414107	28.543305903600928	80.77360570803285	0.05157590975868516	0.20038375002332032	0.024725776831309002	
T2D2	qu_x10	189.34594150279568	170.00910869588827	160.009624262386	7.850947454957147	21.48536978545266	380.77368429198395	0.24884424030594526	0.4307240000925958	0.037201017538706464	
T3D3	qu_x10	195.46527835994792	178.78501207782392	168.57264510518607	8.359004052401898	18.533629202359965	380.7632464580238	0.2487318706996739	0.42502333398442715	0.037226825555165606	
NMPC	qu_x10	185.90174191039728	167.24840511105958	159.25460993639666	5.921202196961693	20.72592977703798	441.2008720410522	0.27947329816711136	0.5017889169976115		
N4SID	qu_x5	253.28156089722765	212.19034611981476	175.91508563238088	26.002456793080363	51.36401847176652	74.20960216596723	0.04713842958367119	0.17557233292609453	0.022290796279907227	
CT	qu_x5	205.4194014704289	185.51324630765893	167.82244617627245	12.714261340693469	24.88269395346268	79.7000499580754	0.050831189012077324	0.18399041704833508	0.02436551268895467	
T2D2	qu_x5	179.42087712340017	163.3166126628772	149.45151639742556	9.839030150321499	20.130330575653264	382.3266581670614	0.24980348274934416	0.373801541980356	0.03655672168731689	
T3D3	qu_x5	182.0701395146391	167.56422645671952	153.98132889149	9.956419300750243	18.132391322398437	368.93653004209045	0.24098008866235615	0.46773133298847824	0.035530833721160886	
NMPC	qu_x5	171.5160717858749	155.34164049607782	143.68722880240924	7.610803871222517	20.218039112245975	435.10491729096975	0.27559508139756506	0.4117584170307964		
